salesCode,description,usd,ngultrum
E035-YGP-CZ,"Om syllable earrings, Vermeil Gold, CZ",179,13000
E036-S,"Drigug, Curved Knife Earrings, Silver",124,9000
E037-S-CZ,"Tam Earrings, Silver, CZ",179,13000
E038-S-CZ,"Double Dorje Earrings, Silver, CZ, 3.13g",83,6000
E038-YGP-CZ,"Double Dorje Earrings, Yellow Gold Plated CZ, 3.03g",96,7000
E039-S-CZ,"Long Hanging Endless Knot Earrings, Silver, CZ",124,
E039-YG18-DIA,"Long Hanging Endless Knot Earrings, Yellow Gold 18k, 7.56g 0.64cts Diamonds",1480,108000
E039-YGP-CZ,"Long Hanging Endless Knot Earrings, Yellow Gold Plated, CZ",165,12000
E040-YG14-DIA,"Double Dorje Earrings, Clover, Diamonds 0.37 CTS. Gold 14k: 6.85g, Total: 8.34g",1768,129000
E041-YGP,"Ratna Quartz Earrings, Gold Plated",302,
E042-S-ENAMEL,"Blue Poppy, Earrings Sterling Silver, Hand Applied Enamel, 6.26g",377,27500
E044-YG14-COR,"Oval Coral Diamond Earrings, Clip, Diamonds, 0.34 CTS. YG14: 4.5g, Total: 5.53g",1562,
E045-YG18-COR,"Life Force Coral Gold Earrings with Diamonds 1.01 CTS. YG18: 16.71g, Total: 19.48g",4603,336000
E052-YG14-AMB,"Amber bead Earrings, lotus Cap, Bumpa (vase) clasp, vajra Yellow Gold 14k",1507,110000
E054-YG14-TQ,Intricate Turquoise and Diamond Earrings 3.23 cts. Diamonds .292 cts.,2439,178000
E056-YG18-BS-DIA,"Bumpa, Longevity Vase Earrings 18k Yellow Gold 12.74g with Sapphires .285cts, & .Diamonds .254cts.",3370,246000
EXT 15cm-YG14,"Chain Extension 15cm, adjustable to 10cm and 5cm, Yellow Gold 14k, 0.92g:",103,7500
EXT 15cm-YG18,"Chain Extension 15cm, Yellow Gold 18k, 1.15g:",151,11000
N002-S,"Tara Mantra Necklace, Silver, White Rhodium, chain CH060, 50cm",274,20000
N002-S-CZ,"Tara Mantra Necklace, Silver, White Rhodium, chain CH060, CZ Diamonds 50cm",329,24000
N002-YGP,"Tara Mantra Necklace, Silver, Gold Plated, chain CH060, 50cm, chain CH040",357,26000
N002-YGP-CZ,"Tara Mantra Necklace, Silver Gold Plated, White CZ Diamonds",384,28000
