sku,code,name,category,material,qty,cost,retail,images,productIds
P070-YG14-TQ,P070,"Bumpa Turquoise Pendant with a diamond .008cts, 3.76g",Pendants,14k Gold,,,726.03,5,
P071-YG18-BSDIA,P071,"18K Longevity Vase, Larger, with Large sapphires and diamonds .14 CTS. 45.95g",Pendants,18k Gold,,,8835.62,7,
P072-S,P072,"Silver Buddha Shakyamuni Medallion Pendant, Rhodinated, With Chain, 42-45-55 cm",Pendants,Silver,,,109.59,,
P072-YGP,P072,"Yellow Gold Plated Buddha Shakyamuni Medallion Pendant, With Chain, 42-45-55 cm",Pendants,Gold Plated,,,205.48,,
P073-YG14-TQ-DIA,P073,Intricate Diamond Turquoise Pendant 2.64 CTS./ Diamonds .188 CTS.,Pendants,14k Gold,,,1260.27,5,
R001-DIA,R001,"Silver Mahakala ring with 32 white and black diamonds 0.34cts, 23g",Rings,Silver,,,1041.1,,
R001-S,R001,"Wrathful Protector Ring, Sterling Silver, Oxidized, 23g",Rings,Silver,,,547.95,,
R001-S-DIA,R001,,Rings,Silver,,,,7,
R005-S-YG14,R005,"Rahu Ring Ring, Silver, 14K Yellow Gold Ring (2.8g) with white topaz + Black Diamonds",Rings,14k Gold,,,424.66,3,
R014-S,R014,"Laughing Skull Ring, Silver Black Diamonds 6g",Rings,Silver,,,123.29,,
R014-S-BD,R014,,Rings,Silver,,,,3,
R014-YG14,R014,"Laughing Skull Ring, Black Diamonds, .036 cts 14k Gold 7.50g",Rings,14k Gold,,,1315.07,,
R014-YG14-BD,R014,,Rings,14k Gold,,,,5,
R017A-S,R017A,"Vajra and bell Ring, silver, black enamel, brushed finished surface, sanded insert, polished edges",Rings,Silver,1,43.8,150.68,6,
R017A-S-T,R017A,"Vajra and bell Ring, silver, Tiffany blue enamel, brushed finished surface, sanded insert, polished edges",Rings,Silver,,,150.68,4,
R017A-YG18,R017A,,Rings,18k Gold,,,,4,
R017B-S,R017B,,Rings,Silver,,,,1,
R017B-YG14,R017B,"Dorje Bell Samaya Ring, male size 14K Yellow Gold, brushed finished surface, sanded insert, polished edges Central Diamond .025 CTS. 10.49 grams",Rings,14k Gold,,,1780.82,,
R017B-YG18,R017B,"Dorje Bell Samaya Ring, male size 18K Yellow Gold, brushed finished surface, sanded insert, polished edges Central Diamond .025 CTS. 12.5 grams",Rings,18k Gold,,,2397.26,,
R017B-YG18-DIA,R017B,,Rings,18k Gold,,,,6,
