Sales Code,Description,USD,Ngultrum
R017B-YG18,"Dorje Bell Samaya Ring, male size 18K Yellow Gold, brushed finished surface, sanded insert, polished edges Central Diamond .025 CTS. 12.5 grams"," $ 2,397.26 ","175,000"
R039-S-CZ,"Samaya Ring, Dorje & Bell, JUMBO CZ Silver", $ 178.08 ,"13,000"
R039-YG18,"Samaya Ring Jumbo, Size 65, Yellow 18K Gold: 18.08g, Diamond: .015cts"," $ 3,493.15 ","255,000"
R019-YG18,"Infinity Knot Eternal Band, 18k Gold 4.8g, female size (51-55)", $ 917.81 ,"67,000"
R019-YG18-DIA,"Infinity Knot Eternal Band, 18k Gold, diamonds .05cts, 5.64 female size (51-55)"," $ 1,150.68 ","84,000"
R019A-WG18,"Ring eternity infinity auspicious 18k White Gold, male size (59-60), 6g"," $ 1,150.68 ","84,000"
R020-YG18,"Infinity Knot Eternal Band, Thinner, With Background, 18k Yellow Gold 4.7g female size (51-55)"," $ 1,000.00 ","73,000"
R034-YG18,"Infinity Knot Eternal Band, Thinner, With Background, 18k Yellow Gold Size 59 and above (male) 6.25g"," $ 1,191.78 ","87,000"
R020B-YG18,"Large endless knot ring, THICKER, 18k yellow gold, Size 53 (female), 5.34g"," $ 1,013.70 ","74,000"
R030-18KY,"Large endless knot ring, THICKER, 18k yellow gold, Size 59 (male) 5.72g"," $ 1,095.89 ","80,000"
R021-YG14,"Infinity Knot Ring, 14k Gold 4.9g", $ 931.51 ,"68,000"
R021-WG14-DIA,"Infinity Knot Ring, 14k White Gold, Diamonds 5.1g .71cts"," $ 1,643.84 ","120,000"
R021-YG18-DIA,"Endless Knot Ring 18k Yellow Gold, Diamonds 5.79g, .71cts"," $ 2,150.68 ","157,000"
R032-YG18-CO,"Endless Knot Ring Thicker, Seamless 18K Yellow Gold 11.37 Male size (size 61)"," $ 2,178.08 ","159,000"
R022-YG14-RR,Red Ruby Jewels Ring Ruby - 5.5cts 0.494cts diamonds 14k yellow gold 4.37g," $ 2,136.99 ","156,000"
R023-YG14-RR,Red Ruby Vajras Ring Ruby - 3.34cts 0.598cts Diamonds 14k yellow gold 3.59g," $ 2,041.10 ","149,000"
